#First case with k = 0.1 and B = 11.0
#u              v              
1.000000        1.000000       
1.010000        1.098697       
1.020987        1.196950       
1.032956        1.294709       
1.045904        1.391924       
1.059823        1.488540       
1.074708        1.584501       
1.090553        1.679748       
1.107351        1.774221       
1.125093        1.867853       
1.143771        1.960577       
1.163377        2.052321       
1.183900        2.143010       
1.205330        2.232565       
1.227656        2.320901       
1.250865        2.407932       
1.274944        2.493565       
1.299880        2.577703       
1.325657        2.660243       
1.352260        2.741078       
1.379670        2.820095       
1.407871        2.897177       
1.436843        2.972199       
1.466565        3.045033       
1.497015        3.115542       
1.528171        3.183586       
1.560007        3.249019       
1.592497        3.311686       
1.625614        3.371430       
1.659328        3.428088       
1.693609        3.481488       
1.728424        3.531458       
1.763738        3.577817       
1.799517        3.620382       
1.835720        3.658965       
1.872310        3.693375       
1.909244        3.723416       
1.946478        3.748894       
1.983967        3.769610       
2.021663        3.785365       
2.059517        3.795963       
2.097476        3.801207       
2.135488        3.800905       
2.173497        3.794866       
2.211446        3.782906       
2.249275        3.764850       
2.286924        3.740528       
2.324329        3.709781       
2.361427        3.672463       
2.398151        3.628439       
2.434436        3.577591       
2.470212        3.519816       
2.505410        3.455032       
2.539960        3.383174       
2.573792        3.304201       
2.606834        3.218095       
2.639015        3.124863       
2.670263        3.024539       
2.700509        2.917182       
2.729681        2.802883       
2.757709        2.681761       
2.784527        2.553965       
2.810067        2.419676       
2.834263        2.279105       
2.857055        2.132495       
2.878379        1.980117       
2.898181        1.822275       
2.916403        1.659300       
2.932996        1.491551       
2.947912        1.319413       
2.961106        1.143297       
2.972539        0.963633       
2.982175        0.780873       
2.989984        0.595486       
2.995939        0.407955       
3.000018        0.218773       
3.002206        0.028444       
3.002491        -0.162525      
3.000865        -0.353626      
2.997329        -0.544352      
2.991886        -0.734199      
2.984544        -0.922676      
2.975317        -1.109298      
2.964224        -1.293600      
2.951288        -1.475130      
2.936537        -1.653459      
2.920002        -1.828179      
2.901720        -1.998907      
2.881731        -2.165287      
2.860078        -2.326990      
2.836808        -2.483720      
2.811971        -2.635207      
2.785619        -2.781214      
2.757807        -2.921538      
2.728592        -3.056004      
2.698032        -3.184471      
2.666187        -3.306829      
2.633119        -3.422997      
2.598889        -3.532926      
2.563559        -3.636593      
2.527193        -3.734005      
2.489853        -3.825193      
2.451601        -3.910213      
2.412499        -3.989144      
2.372608        -4.062085      
2.331987        -4.129156      
2.290695        -4.190493      
2.248790        -4.246250      
2.206328        -4.296591      
2.163362        -4.341697      
2.119945        -4.381756      
2.076128        -4.416966      
2.031958        -4.447532      
1.987483        -4.473667      
1.942746        -4.495585      
1.897790        -4.513505      
1.852655        -4.527647      
1.807379        -4.538232      
1.761996        -4.545481      
1.716541        -4.549612      
1.671045        -4.550842      
1.625537        -4.549384      
1.580043        -4.545449      
1.534588        -4.539242      
1.489196        -4.530962      
1.443886        -4.520806      
1.398678        -4.508962      
1.353589        -4.495614      
1.308633        -4.480938      
1.263823        -4.465105      
1.219172        -4.448278      
1.174689        -4.430614      
1.130383        -4.412264      
1.086261        -4.393370      
1.042327        -4.374068      
0.998586        -4.354489      
0.955041        -4.334755      
0.911694        -4.314982      
0.868544        -4.295279      
0.825591        -4.275751      
0.782834        -4.256493      
0.740269        -4.237597      
0.697893        -4.219147      
0.655701        -4.201222      
0.613689        -4.183895      
0.571850        -4.167235      
0.530178        -4.151303      
0.488665        -4.136156      
0.447303        -4.121846      
0.406085        -4.108419      
0.365001        -4.095919      
0.324041        -4.084383      
0.283198        -4.073842      
0.242459        -4.064325      
0.201816        -4.055857      
0.161257        -4.048456      
0.120773        -4.042138      
0.080351        -4.036913      
0.039982        -4.032789      
-0.000346       -4.029769      
-0.040643       -4.027851      
-0.080922       -4.027029      
-0.121192       -4.027296      
-0.161465       -4.028637      
-0.201751       -4.031035      
-0.242062       -4.034468      
-0.282406       -4.038912      
-0.322796       -4.044336      
-0.363239       -4.050707      
-0.403746       -4.057986      
-0.444326       -4.066133      
-0.484987       -4.075099      
-0.525738       -4.084833      
-0.566586       -4.095281      
-0.607539       -4.106382      
-0.648603       -4.118071      
-0.689784       -4.130278      
-0.731087       -4.142928      
-0.772516       -4.155943      
-0.814075       -4.169237      
-0.855768       -4.182720      
-0.897595       -4.196298      
-0.939558       -4.209870      
-0.981657       -4.223330      
-1.023890       -4.236567      
-1.066256       -4.249464      
-1.108750       -4.261899      
-1.151369       -4.273745      
-1.194107       -4.284868      
-1.236955       -4.295130      
-1.279907       -4.304387      
-1.322950       -4.312491      
-1.366075       -4.319286      
-1.409268       -4.324614      
-1.452514       -4.328313      
-1.495798       -4.330213      
-1.539100       -4.330144      
-1.582401       -4.327931      
-1.625680       -4.323394      
-1.668914       -4.316354      
-1.712078       -4.306626      
-1.755144       -4.294028      
-1.798084       -4.278374      
-1.840868       -4.259480      
-1.883463       -4.237161      
-1.925835       -4.211238      
-1.967947       -4.181529      
-2.009762       -4.147862      
-2.051241       -4.110066      
-2.092342       -4.067979      
-2.133021       -4.021444      
-2.173236       -3.970315      
-2.212939       -3.914454      
-2.252083       -3.853738      
-2.290621       -3.788053      
-2.328501       -3.717301      
-2.365674       -3.641400      
-2.402088       -3.560284      
-2.437691       -3.473907      
-2.472430       -3.382239      
-2.506253       -3.285274      
-2.539105       -3.183026      
-2.570936       -3.075533      
-2.601691       -2.962855      
-2.631320       -2.845077      
-2.659770       -2.722310      
-2.686993       -2.594687      
-2.712940       -2.462371      
-2.737564       -2.325545      
-2.760819       -2.184422      
-2.782664       -2.039236      
-2.803056       -1.890248      
-2.821959       -1.737739      
-2.839336       -1.582015      
-2.855156       -1.423401      
-2.869390       -1.262241      
-2.882012       -1.098898      
-2.893001       -0.933747      
-2.902339       -0.767181      
-2.910011       -0.599601      
-2.916007       -0.431417      
-2.920321       -0.263045      
-2.922951       -0.094908      
-2.923900       0.072574       
-2.923175       0.238980       
-2.920785       0.403893       
-2.916746       0.566903       
-2.911077       0.727608       
-2.903801       0.885620       
-2.894945       1.040559       
-2.884539       1.192065       
-2.872618       1.339794       
-2.859221       1.483420       
-2.844386       1.622638       
-2.828160       1.757165       
-2.810588       1.886739       
-2.791721       2.011125       
-2.771610       2.130109       
-2.750309       2.243504       
-2.727874       2.351144       
-2.704362       2.452893       
-2.679833       2.548634       
-2.654347       2.638279       
-2.627964       2.721760       
-2.600746       2.799034       
-2.572756       2.870077       
-2.544055       2.934890       
-2.514706       2.993490       
-2.484771       3.045916       
-2.454312       3.092221       
-2.423390       3.132477       
-2.392065       3.166770       
-2.360398       3.195200       
-2.328446       3.217877       
-2.296267       3.234924       
-2.263918       3.246474       
-2.231453       3.252666       
-2.198926       3.253650       
-2.166390       3.249578       
-2.133894       3.240608       
-2.101488       3.226904       
-2.069219       3.208630       
-2.037133       3.185952       
-2.005273       3.159040       
-1.973683       3.128061       
-1.942402       3.093184       
-1.911470       3.054573       
-1.880924       3.012396       
-1.850800       2.966814       
-1.821132       2.917988       
-1.791952       2.866074       
-1.763292       2.811227       
-1.735179       2.753596       
-1.707643       2.693328       
-1.680710       2.630564       
-1.654405       2.565443       
-1.628750       2.498099       
-1.603769       2.428659       
-1.579483       2.357251       
-1.555910       2.283993       
-1.533070       2.209002       
-1.510980       2.132390       
-1.489656       2.054266       
-1.469114       1.974731       
-1.449366       1.893887       
-1.430427       1.811829       
-1.412309       1.728648       
-1.395023       1.644434       
-1.378578       1.559271       
-1.362986       1.473241       
-1.348253       1.386422       
-1.334389       1.298891       
-1.321400       1.210720       
-1.309293       1.121979       
-1.298073       1.032737       
-1.287746       0.943059       
-1.278315       0.853009       
-1.269785       0.762648       
-1.262158       0.672036       
-1.255438       0.581233       
-1.249626       0.490294       
-1.244723       0.399276       
-1.240730       0.308234       
-1.237648       0.217222       
-1.235476       0.126292       
-1.234213       0.035499       
-1.233858       -0.055107      
-1.234409       -0.145472      
-1.235863       -0.235545      
-1.238219       -0.325273      
-1.241472       -0.414604      
-1.245618       -0.503486      
-1.250652       -0.591865      
-1.256571       -0.679686      
-1.263368       -0.766895      
-1.271037       -0.853436      
-1.279571       -0.939252      
-1.288964       -1.024284      
-1.299207       -1.108473      
-1.310291       -1.191758      
-1.322209       -1.274074      
-1.334950       -1.355358      
-1.348503       -1.435542      
-1.362859       -1.514557      
-1.378004       -1.592332      
-1.393928       -1.668794      
-1.410616       -1.743867      
-1.428054       -1.817471      
-1.446229       -1.889526      
-1.465124       -1.959947      
-1.484724       -2.028649      
-1.505010       -2.095541      
-1.525966       -2.160532      
-1.547571       -2.223525      
-1.569806       -2.284423      
-1.592650       -2.343126      
-1.616082       -2.399528      
-1.640077       -2.453524      
-1.664612       -2.505004      
-1.689662       -2.553857      
-1.715201       -2.599969      
-1.741200       -2.643223      
-1.767633       -2.683501      
-1.794468       -2.720684      
-1.821674       -2.754650      
-1.849221       -2.785277      
-1.877074       -2.812442      
-1.905198       -2.836022      
-1.933558       -2.855895      
-1.962117       -2.871937      
-1.990837       -2.884029      
-2.019677       -2.892051      
-2.048598       -2.895888      
-2.077556       -2.895427      
-2.106511       -2.890558      
-2.135416       -2.881178      
-2.164228       -2.867189      
-2.192900       -2.848497      
-2.221385       -2.825020      
-2.249635       -2.796679      
-2.277602       -2.763407      
-2.305236       -2.725148      
-2.332487       -2.681853      
-2.359306       -2.633487      
-2.385641       -2.580029      
-2.411441       -2.521468      
-2.436656       -2.457809      
-2.461234       -2.389071      
-2.485125       -2.315291      
-2.508278       -2.236518      
-2.530643       -2.152820      
-2.552171       -2.064282      
-2.572814       -1.971006      
-2.592524       -1.873110      
-2.611255       -1.770732      
-2.628962       -1.664026      
-2.645602       -1.553162      
-2.661134       -1.438329      
-2.675517       -1.319732      
-2.688715       -1.197592      
-2.700691       -1.072143      
-2.711412       -0.943635      
-2.720848       -0.812331      
-2.728972       -0.678506      
-2.735757       -0.542445      
-2.741181       -0.404442      
-2.745226       -0.264801      
-2.747874       -0.123829      
-2.749112       0.018160       
-2.748930       0.160850       
-2.747322       0.303923       
-2.744283       0.447063       
-2.739812       0.589955       
-2.733912       0.732287       
-2.726590       0.873755       
-2.717852       1.014061       
-2.707711       1.152915       
-2.696182       1.290039       
-2.683282       1.425165       
-2.669030       1.558039       
-2.653450       1.688420       
-2.636566       1.816083       
-2.618405       1.940819       
-2.598997       2.062434       
-2.578372       2.180753       
-2.556565       2.295619       
-2.533609       2.406890       
-2.509540       2.514446       
-2.484395       2.618183       
-2.458213       2.718015       
-2.431033       2.813876       
-2.402894       2.905715       
-2.373837       2.993500       
-2.343902       3.077214       
-2.313130       3.156857       
-2.281562       3.232445       
-2.249237       3.304007       
-2.216197       3.371586       
-2.182481       3.435240       
-2.148129       3.495036       
-2.113178       3.551054       
-2.077668       3.603383       
-2.041634       3.652122       
-2.005113       3.697379       
-1.968139       3.739267       
-1.930746       3.777908       
-1.892967       3.813429       
-1.854833       3.845960       
-1.816373       3.875637       
-1.777617       3.902600       
-1.738591       3.926988       
-1.699321       3.948945       
-1.659832       3.968614       
-1.620146       3.986139       
-1.580284       4.001666       
-1.540268       4.015337       
-1.500114       4.027295       
-1.459841       4.037681       
-1.419464       4.046634       
-1.378998       4.054290       
-1.338455       4.060785       
-1.297847       4.066248       
-1.257185       4.070809       
-1.216477       4.074591       
-1.175731       4.077717       
-1.134954       4.080303       
-1.094151       4.082463       
-1.053326       4.084307       
-1.012483       4.085940       
-0.971624       4.087465       
-0.930749       4.088978       
-0.889859       4.090572       
-0.848953       4.092338       
-0.808030       4.094358       
-0.767086       4.096715       
-0.726119       4.099483       
-0.685124       4.102736       
-0.644097       4.106541       
-0.603032       4.110961       
-0.561922       4.116056       
-0.520762       4.121880       
-0.479543       4.128486       
-0.438258       4.135920       
-0.396899       4.144223       
-0.355456       4.153436       
-0.313922       4.163591       
-0.272286       4.174718       
-0.230539       4.186845       
-0.188671       4.199990       
-0.146671       4.214173       
-0.104529       4.229405       
-0.062235       4.245694       
-0.019778       4.263045       
0.022853        4.281455       
0.065667        4.300919       
0.108676        4.321427       
0.151891        4.342963       
0.195320        4.365505       
0.238975        4.389028       
0.282866        4.413500       
0.327000        4.438883       
0.371389        4.465135       
0.416041        4.492205       
0.460963        4.520040       
0.506163        4.548576       
0.551649        4.577745       
0.597426        4.607470       
0.643501        4.637670       
0.689878        4.668253       
0.736560        4.699121       
0.783551        4.730169       
0.830853        4.761280       
0.878466        4.792334       
0.926389        4.823197       
0.974621        4.853730       
1.023159        4.883782       
1.071996        4.913194       
1.121128        4.941799       
1.170546        4.969417       
1.220240        4.995862       
1.270199        5.020935       
1.320408        5.044430       
1.370853        5.066130       
1.421514        5.085809       
1.472372        5.103232       
1.523404        5.118156       
1.574586        5.130329       
1.625889        5.139489       
1.677284        5.145371       
1.728738        5.147699       
1.780215        5.146196       
1.831677        5.140578       
1.883083        5.130557       
1.934388        5.115844       
1.985547        5.096150       
2.036508        5.071186       
2.087220        5.040665       
2.137627        5.004308       
2.187670        4.961839       
2.237288        4.912993       
2.286418        4.857516       
2.334993        4.795166       
2.382945        4.725720       
2.430202        4.648971       
2.476692        4.564737       
2.522339        4.472855       
2.567068        4.373194       
2.610800        4.265650       
2.653456        4.150149       
2.694958        4.026656       
2.735224        3.895169       
2.774176        3.755725       
2.811733        3.608404       
2.847817        3.453326       
2.882350        3.290655       
2.915257        3.120600       
2.946463        2.943413       
2.975897        2.759392       
3.003491        2.568880       
3.029180        2.372262       
3.052902        2.169967       
3.074602        1.962461       
3.094227        1.750252       
3.111729        1.533882       
3.127068        1.313922       
3.140207        1.090977       
3.151117        0.865670       
3.159774        0.638650       
3.166160        0.410578       
3.170266        0.182125       
3.172087        -0.046029      
3.171627        -0.273205      
3.168895        -0.498729      
3.163908        -0.721936      
3.156688        -0.942174      
3.147267        -1.158810      
3.135678        -1.371235      
3.121966        -1.578866      
3.106177        -1.781152      
3.088366        -1.977573      
3.068590        -2.167651      
3.046914        -2.350942      
3.023404        -2.527046      
2.998134        -2.695606      
2.971178        -2.856306      
2.942615        -3.008877      
2.912526        -3.153093      
2.880995        -3.288770      
2.848107        -3.415768      
2.813950        -3.533990      
2.778610        -3.643377      
2.742176        -3.743910      
2.704737        -3.835605      
2.666381        -3.918513      
2.627196        -3.992718      
2.587268        -4.058330      
2.546685        -4.115489      
2.505530        -4.164358      
2.463887        -4.205120      
2.421836        -4.237980      
2.379456        -4.263156      
2.336824        -4.280882      
2.294015        -4.291403      
2.251101        -4.294973      
2.208152        -4.291853      
2.165233        -4.282309      
2.122410        -4.266610      
2.079744        -4.245028      
2.037294        -4.217832      
1.995115        -4.185292      
1.953262        -4.147675      
1.911786        -4.105242      
1.870733        -4.058251      
1.830151        -4.006954      
1.790081        -3.951597      
1.750565        -3.892416      
1.711641        -3.829644      
1.673345        -3.763503      
1.635710        -3.694208      
1.598767        -3.621964      
1.562548        -3.546970      
1.527078        -3.469414      
1.492384        -3.389478      
1.458489        -3.307333      
1.425416        -3.223143      
1.393184        -3.137063      
1.361814        -3.049242      
1.331321        -2.959819      
1.301723        -2.868926      
1.273034        -2.776689      
1.245267        -2.683225      
1.218435        -2.588646      
1.192548        -2.493057      
1.167618        -2.396557      
1.143652        -2.299239      
1.120660        -2.201191      
1.098648        -2.102497      
1.077623        -2.003233      
1.057591        -1.903473      
1.038556        -1.803286      
1.020523        -1.702738      
1.003496        -1.601891      
0.987477        -1.500801      
0.972469        -1.399525      
0.958473        -1.298114      
0.945492        -1.196618      
0.933526        -1.095083      
0.922575        -0.993556      
0.912640        -0.892078      
0.903719        -0.790690      
0.895812        -0.689432      
