#Second case with k = 0.4 and B = 20.0
#u              v              
1.000000        1.000000       
1.010000        1.185697       
1.021857        1.370274       
1.035560        1.553648       
1.051096        1.735731       
1.068453        1.916430       
1.087618        2.095649       
1.108574        2.273283       
1.131307        2.449221       
1.155799        2.623344       
1.182033        2.795526       
1.209988        2.965630       
1.239644        3.133509       
1.270979        3.299005       
1.303969        3.461950       
1.338589        3.622160       
1.374811        3.779440       
1.412605        3.933580       
1.451941        4.084354       
1.492784        4.231520       
1.535100        4.374819       
1.578848        4.513977       
1.623987        4.648697       
1.670474        4.778667       
1.718261        4.903556       
1.767297        5.023010       
1.817527        5.136661       
1.868893        5.244116       
1.921335        5.344967       
1.974784        5.438786       
2.029172        5.525128       
2.084423        5.603530       
2.140459        5.673516       
2.197194        5.734596       
2.254540        5.786269       
2.312402        5.828026       
2.370683        5.859353       
2.429276        5.879734       
2.488074        5.888656       
2.546960        5.885613       
2.605816        5.870110       
2.664517        5.841670       
2.722934        5.799839       
2.780932        5.744192       
2.838374        5.674339       
2.895118        5.589931       
2.951017        5.490672       
3.005924        5.376317       
3.059687        5.246687       
3.112154        5.101671       
3.163171        4.941236       
3.212583        4.765427       
3.260237        4.574378       
3.305981        4.368317       
3.349664        4.147565       
3.391140        3.912541       
3.430265        3.663766       
3.466903        3.401860       
3.500921        3.127544       
3.532197        2.841635       
3.560613        2.545043       
3.586064        2.238768       
3.608451        1.923889       
3.627690        1.601560       
3.643706        1.272999       
3.656436        0.939478       
3.665831        0.602311       
3.671854        0.262842       
3.674482        -0.077566      
3.673707        -0.417549      
3.669531        -0.755749      
3.661974        -1.090830      
3.651065        -1.421492      
3.636850        -1.746479      
3.619386        -2.064596      
3.598740        -2.374714      
3.574992        -2.675782      
3.548235        -2.966833      
3.518566        -3.246993      
3.486096        -3.515483      
3.450941        -3.771625      
3.413225        -4.014841      
3.373077        -4.244659      
3.330630        -4.460706      
3.286023        -4.662711      
3.239396        -4.850500      
3.190891        -5.023991      
3.140651        -5.183192      
3.088819        -5.328192      
3.035537        -5.459158      
2.980946        -5.576327      
2.925182        -5.679998      
2.868383        -5.770529      
2.810677        -5.848324      
2.752194        -5.913830      
2.693056        -5.967533      
2.633380        -6.009943      
2.573281        -6.041596      
2.512865        -6.063044      
2.452235        -6.074851      
2.391486        -6.077588      
2.330710        -6.071826      
2.269992        -6.058136      
2.209411        -6.037083      
2.149040        -6.009221      
2.088947        -5.975096      
2.029197        -5.935236      
1.969844        -5.890157      
1.910943        -5.840353      
1.852539        -5.786303      
1.794676        -5.728465      
1.737391        -5.667276      
1.680719        -5.603151      
1.624687        -5.536488      
1.569322        -5.467659      
1.514646        -5.397017      
1.460675        -5.324896      
1.407426        -5.251608      
1.354910        -5.177444      
1.303136        -5.102679      
1.252109        -5.027566      
1.201834        -4.952344      
1.152310        -4.877231      
1.103538        -4.802432      
1.055513        -4.728134      
1.008232        -4.654512      
0.961687        -4.581723      
0.915870        -4.509915      
0.870771        -4.439222      
0.826378        -4.369765      
0.782681        -4.301657      
0.739664        -4.234997      
0.697314        -4.169878      
0.655615        -4.106381      
0.614552        -4.044582      
0.574106        -3.984545      
0.534260        -3.926330      
0.494997        -3.869990      
0.456297        -3.815570      
0.418141        -3.763111      
0.380510        -3.712647      
0.343384        -3.664208      
0.306742        -3.617819      
0.270564        -3.573500      
0.234829        -3.531269      
0.199516        -3.491139      
0.164605        -3.453119      
0.130073        -3.417214      
0.095901        -3.383429      
0.062067        -3.351763      
